reaction,origin,rule
R08831,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08833,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08834,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08835,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08837,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08848,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08953,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R08976,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09093,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09142,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09143,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09144,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09145,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09149,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09170,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09172,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09173,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09175,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09176,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09179,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09274,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09367,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09368,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09391,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09392,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09431,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09432,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09433,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09434,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09435,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09436,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09834,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09885,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R09981,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10013,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10018,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10022,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10030,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10034,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10041,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10078,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R10082,map_rn2ko_spontaneous,frozenset({'spontaneous'})
