reaction,origin,rule
R12675,map_rn2ko_viaEC_1minus,frozenset({'K24705'})
R12676,map_rn2ko_viaEC_1minus,frozenset({'K06169'})
R12682,map_rn2ko_viaEC_1minus,frozenset({'K02259'})
R12684,map_rn2ko_viaEC_1minus,frozenset({'K24693'})
R12685,map_rn2ko_viaEC_1minus,frozenset({'K24693'})
R12689,map_rn2ko_viaEC_1minus,frozenset({'K01011'})
R12690,map_rn2ko_viaEC_1minus,frozenset({'K01011'})
R12710,map_rn2ko_viaEC_1minus,frozenset({'K08977'})
R12713,map_rn2ko_viaEC_1minus,frozenset({'K24995'})
R12714,map_rn2ko_viaEC_1minus,frozenset({'K17731'})
R12719,map_rn2ko_viaEC_1minus,frozenset({'K25035'})
R12721,map_rn2ko_viaEC_1minus,frozenset({'K04780'})
R12722,map_rn2ko_viaEC_1minus,frozenset({'K04780'})
R12723,map_rn2ko_viaEC_1minus,frozenset({'K04780'})
R12724,map_rn2ko_viaEC_1minus,frozenset({'K24696'})
R12725,map_rn2ko_viaEC_1minus,frozenset({'K12912'})
R12726,map_rn2ko_viaEC_1minus,frozenset({'K12912'})
R12727,map_rn2ko_viaEC_1minus,frozenset({'K12912'})
R12731,map_rn2ko_viaEC_1minus,frozenset({'K00617'})
R12735,map_rn2ko_viaEC_1minus,frozenset({'K11608'})
R12736,map_rn2ko_viaEC_1minus,frozenset({'K25042'})
R12737,map_rn2ko_viaEC_1minus,frozenset({'K25042'})
R12746,map_rn2ko_viaEC_1minus,frozenset({'K25043'})
R12747,map_rn2ko_viaEC_1minus,frozenset({'K22468'})
R12748,map_rn2ko_viaEC_1minus,frozenset({'K25010'})
R12750,map_rn2ko_viaEC_1minus,frozenset({'K24696'})
R12758,map_rn2ko_viaEC_1minus,frozenset({'K01667'})
R12759,map_rn2ko_viaEC_1minus,frozenset({'K01668'})
R00002,map_rn2ko_viaEC_2plus,"frozenset({'K00531', 'K02586', 'K02591'})"
R00004,map_rn2ko_viaEC_2plus,frozenset({'K01507'})
R00004,map_rn2ko_viaEC_2plus,frozenset({'K11725'})
R00004,map_rn2ko_viaEC_2plus,frozenset({'K11726'})
R00004,map_rn2ko_viaEC_2plus,frozenset({'K06019'})
R00004,map_rn2ko_viaEC_2plus,frozenset({'K15986'})
R00052,map_rn2ko_viaEC_2plus,frozenset({'K17990'})
R00052,map_rn2ko_viaEC_2plus,frozenset({'K00433'})
R00057,map_rn2ko_viaEC_2plus,frozenset({'K17783'})
R00057,map_rn2ko_viaEC_2plus,frozenset({'K10758'})
R00057,map_rn2ko_viaEC_2plus,frozenset({'K17891'})
R00058,map_rn2ko_viaEC_2plus,frozenset({'K00505'})
R00058,map_rn2ko_viaEC_2plus,frozenset({'K00422'})
R00067,map_rn2ko_viaEC_2plus,"frozenset({'K00531', 'K02586', 'K02591'})"
R00082,map_rn2ko_viaEC_2plus,"frozenset({'K02276', 'K02274', 'K02277', 'K02275'})"
R00082,map_rn2ko_viaEC_2plus,"frozenset({'K15408', 'K15862'})"
R00082,map_rn2ko_viaEC_2plus,frozenset({'K02256'})
R00082,map_rn2ko_viaEC_2plus,frozenset({'K00404'})
R00083,map_rn2ko_viaEC_2plus,frozenset({'K00421'})
R00083,map_rn2ko_viaEC_2plus,frozenset({'K05909'})
R00085,map_rn2ko_viaEC_2plus,frozenset({'K01510'})
R00085,map_rn2ko_viaEC_2plus,frozenset({'K14641'})
R00085,map_rn2ko_viaEC_2plus,frozenset({'K14642'})
R00106,map_rn2ko_viaEC_2plus,frozenset({'K14338'})
R00106,map_rn2ko_viaEC_2plus,frozenset({'K00327'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00270'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K21672'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00263'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K15371'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00259'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00262'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00260'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K00261'})
R00145,map_rn2ko_viaEC_2plus,frozenset({'K19244'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00270'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K21672'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00263'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K15371'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00259'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00262'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00260'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K00261'})
R00146,map_rn2ko_viaEC_2plus,frozenset({'K19244'})
R00153,map_rn2ko_viaEC_2plus,"frozenset({'K00531', 'K02586', 'K02591'})"
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14165'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17614'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K19705'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04460'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K10147'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17506'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K20074'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K01090'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K18998'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K06639'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17615'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K19790'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04459'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K23534'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K13807'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K07313'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K16340'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K20216'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17617'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K21814'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17504'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04457'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17505'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K19708'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K01110'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17507'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17618'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15732'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14803'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15427'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15637'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17502'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17503'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15498'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K07314'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04348'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17499'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04382'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K11915'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K20827'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14819'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17508'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14167'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K05766'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K06269'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14501'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15731'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K18498'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15423'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K19704'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K20551'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17500'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K04461'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K06382'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K15544'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K21946'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K14497'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K21278'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K17501'})
R00164,map_rn2ko_viaEC_2plus,frozenset({'K18999'})
R00275,map_rn2ko_viaEC_2plus,frozenset({'K04564'})
R00275,map_rn2ko_viaEC_2plus,frozenset({'K04565'})
R00275,map_rn2ko_viaEC_2plus,frozenset({'K16627'})
R00275,map_rn2ko_viaEC_2plus,frozenset({'K00518'})
R00280,map_rn2ko_viaEC_2plus,frozenset({'K00368'})
R00280,map_rn2ko_viaEC_2plus,frozenset({'K15864'})
R00283,map_rn2ko_viaEC_2plus,"frozenset({'K04115', 'K04112', 'K04113', 'K04114'})"
R00284,map_rn2ko_viaEC_2plus,frozenset({'K05601'})
R00284,map_rn2ko_viaEC_2plus,frozenset({'K15864'})
R00304,map_rn2ko_viaEC_2plus,frozenset({'K20866'})
R00304,map_rn2ko_viaEC_2plus,frozenset({'K01085'})
R00329,map_rn2ko_viaEC_2plus,frozenset({'K01511'})
R00329,map_rn2ko_viaEC_2plus,frozenset({'K12304'})
R00329,map_rn2ko_viaEC_2plus,frozenset({'K12305'})
R00331,map_rn2ko_viaEC_2plus,frozenset({'K18533'})
R00331,map_rn2ko_viaEC_2plus,frozenset({'K00940'})
R00365,map_rn2ko_viaEC_2plus,frozenset({'K00259'})
R00365,map_rn2ko_viaEC_2plus,frozenset({'K19244'})
R00380,map_rn2ko_viaEC_2plus,"frozenset({'K00558', 'K17399', 'K17398'})"
R00392,map_rn2ko_viaEC_2plus,frozenset({'K00255'})
R00392,map_rn2ko_viaEC_2plus,frozenset({'K00249'})
R00393,map_rn2ko_viaEC_2plus,"frozenset({'K01035', 'K01034'})"
R00393,map_rn2ko_viaEC_2plus,frozenset({'K19709'})
R00395,map_rn2ko_viaEC_2plus,frozenset({'K00628'})
R00395,map_rn2ko_viaEC_2plus,frozenset({'K22749'})
R00399,map_rn2ko_viaEC_2plus,"frozenset({'K21399', 'K21400'})"
R00436,map_rn2ko_viaEC_2plus,frozenset({'K14679'})
R00436,map_rn2ko_viaEC_2plus,frozenset({'K18961'})
R00436,map_rn2ko_viaEC_2plus,frozenset({'K14680'})
R00436,map_rn2ko_viaEC_2plus,frozenset({'K01973'})
R00436,map_rn2ko_viaEC_2plus,frozenset({'K18962'})
R00538,map_rn2ko_viaEC_2plus,frozenset({'K00149'})
R00538,map_rn2ko_viaEC_2plus,frozenset({'K00129'})
R00538,map_rn2ko_viaEC_2plus,frozenset({'K14085'})
R00538,map_rn2ko_viaEC_2plus,frozenset({'K00128'})
R00543,map_rn2ko_viaEC_2plus,frozenset({'K01557'})
R00543,map_rn2ko_viaEC_2plus,frozenset({'K16164'})
R00555,map_rn2ko_viaEC_2plus,frozenset({'K06716'})
R00555,map_rn2ko_viaEC_2plus,frozenset({'K00775'})
R00555,map_rn2ko_viaEC_2plus,frozenset({'K19980'})
R00555,map_rn2ko_viaEC_2plus,frozenset({'K06717'})
R00555,map_rn2ko_viaEC_2plus,frozenset({'K19977'})
R00572,map_rn2ko_viaEC_2plus,frozenset({'K12406'})
R00572,map_rn2ko_viaEC_2plus,frozenset({'K00873'})
R00594,map_rn2ko_viaEC_2plus,frozenset({'K15331'})
R00594,map_rn2ko_viaEC_2plus,frozenset({'K00557'})
R00595,map_rn2ko_viaEC_2plus,frozenset({'K15334'})
R00595,map_rn2ko_viaEC_2plus,frozenset({'K15335'})
R00595,map_rn2ko_viaEC_2plus,frozenset({'K15336'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K13951'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K11440'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K00121'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K04072'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K13954'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K13980'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K00001'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K13952'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K13953'})
R00624,map_rn2ko_viaEC_2plus,frozenset({'K18857'})
R00625,map_rn2ko_viaEC_2plus,frozenset({'K13979'})
R00625,map_rn2ko_viaEC_2plus,frozenset({'K00002'})
R00625,map_rn2ko_viaEC_2plus,frozenset({'K12957'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K01078'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K09474'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K23458'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K14379'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K14410'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K14394'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K19283'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K03788'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K01113'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K01077'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K01093'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K19284'})
R00626,map_rn2ko_viaEC_2plus,frozenset({'K14395'})
R00630,map_rn2ko_viaEC_2plus,frozenset({'K15743'})
R00630,map_rn2ko_viaEC_2plus,frozenset({'K03927'})
R00630,map_rn2ko_viaEC_2plus,frozenset({'K01044'})
R00630,map_rn2ko_viaEC_2plus,frozenset({'K03928'})
R00630,map_rn2ko_viaEC_2plus,frozenset({'K24085'})
R00634,map_rn2ko_viaEC_2plus,frozenset({'K14519'})
R00634,map_rn2ko_viaEC_2plus,frozenset({'K00129'})
R00659,map_rn2ko_viaEC_2plus,frozenset({'K12406'})
R00659,map_rn2ko_viaEC_2plus,frozenset({'K00873'})
R00724,map_rn2ko_viaEC_2plus,frozenset({'K12406'})
R00724,map_rn2ko_viaEC_2plus,frozenset({'K00873'})
R00763,map_rn2ko_viaEC_2plus,frozenset({'K14634'})
R00763,map_rn2ko_viaEC_2plus,frozenset({'K19030'})
R00763,map_rn2ko_viaEC_2plus,frozenset({'K19029'})
R00763,map_rn2ko_viaEC_2plus,frozenset({'K01103'})
R00763,map_rn2ko_viaEC_2plus,frozenset({'K19028'})
R00767,map_rn2ko_viaEC_2plus,frozenset({'K24182'})
R00767,map_rn2ko_viaEC_2plus,frozenset({'K16370'})
R00767,map_rn2ko_viaEC_2plus,frozenset({'K21071'})
R00767,map_rn2ko_viaEC_2plus,frozenset({'K00850'})
R00769,map_rn2ko_viaEC_2plus,frozenset({'K24182'})
R00769,map_rn2ko_viaEC_2plus,frozenset({'K16370'})
R00769,map_rn2ko_viaEC_2plus,frozenset({'K21071'})
R00769,map_rn2ko_viaEC_2plus,frozenset({'K00850'})
R00770,map_rn2ko_viaEC_2plus,frozenset({'K24182'})
R00770,map_rn2ko_viaEC_2plus,frozenset({'K16370'})
R00770,map_rn2ko_viaEC_2plus,frozenset({'K21071'})
R00770,map_rn2ko_viaEC_2plus,frozenset({'K00850'})
R00772,map_rn2ko_viaEC_2plus,frozenset({'K15916'})
R00772,map_rn2ko_viaEC_2plus,frozenset({'K01809'})
R00772,map_rn2ko_viaEC_2plus,frozenset({'K16011'})
R00784,map_rn2ko_viaEC_2plus,frozenset({'K00368'})
R00784,map_rn2ko_viaEC_2plus,frozenset({'K15864'})
R00814,map_rn2ko_viaEC_2plus,frozenset({'K00078'})
R00814,map_rn2ko_viaEC_2plus,frozenset({'K00212'})
R00836,map_rn2ko_viaEC_2plus,frozenset({'K00697'})
R00836,map_rn2ko_viaEC_2plus,frozenset({'K16055'})
R00849,map_rn2ko_viaEC_2plus,frozenset({'K00111'})
R00857,map_rn2ko_viaEC_2plus,frozenset({'K01126'})
R00857,map_rn2ko_viaEC_2plus,frozenset({'K18696'})
R00873,map_rn2ko_viaEC_2plus,"frozenset({'K23274', 'K23273'})"
R00895,map_rn2ko_viaEC_2plus,frozenset({'K15849'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K14455'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K00812'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K00813'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K11358'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K14454'})
R00895,map_rn2ko_viaEC_2plus,frozenset({'K00811'})
R00900,map_rn2ko_viaEC_2plus,frozenset({'K22182'})
R00900,map_rn2ko_viaEC_2plus,frozenset({'K00384'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K01078'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K09474'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K23458'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K14379'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K14410'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K14394'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K19283'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K03788'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K01113'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K01077'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K01093'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K19284'})
R01010,map_rn2ko_viaEC_2plus,frozenset({'K14395'})
R01100,map_rn2ko_viaEC_2plus,frozenset({'K12309'})
R01100,map_rn2ko_viaEC_2plus,frozenset({'K12308'})
R01100,map_rn2ko_viaEC_2plus,frozenset({'K01190'})
R01100,map_rn2ko_viaEC_2plus,frozenset({'K01229'})
R01100,map_rn2ko_viaEC_2plus,frozenset({'K12111'})
R01143,map_rn2ko_viaEC_2plus,"frozenset({'K16157', 'K16158', 'K16159', 'K16161'})"
R01195,map_rn2ko_viaEC_2plus,frozenset({'K00528'})
R01195,map_rn2ko_viaEC_2plus,frozenset({'K02641'})
R01195,map_rn2ko_viaEC_2plus,frozenset({'K21567'})
R01205,map_rn2ko_viaEC_2plus,frozenset({'K07969'})
R01205,map_rn2ko_viaEC_2plus,frozenset({'K07968'})
R01205,map_rn2ko_viaEC_2plus,frozenset({'K07966'})
R01205,map_rn2ko_viaEC_2plus,frozenset({'K07967'})
R01241,map_rn2ko_viaEC_2plus,frozenset({'K01045'})
R01241,map_rn2ko_viaEC_2plus,frozenset({'K10804'})
R01289,map_rn2ko_viaEC_2plus,frozenset({'K01697'})
R01289,map_rn2ko_viaEC_2plus,frozenset({'K10150'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K01047'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K16343'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K14674'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K01058'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K16817'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K16342'})
R01313,map_rn2ko_viaEC_2plus,frozenset({'K14621'})
R01314,map_rn2ko_viaEC_2plus,frozenset({'K16818'})
R01314,map_rn2ko_viaEC_2plus,frozenset({'K01058'})
R01314,map_rn2ko_viaEC_2plus,frozenset({'K16817'})
R01314,map_rn2ko_viaEC_2plus,frozenset({'K22389'})
R01341,map_rn2ko_viaEC_2plus,frozenset({'K11517'})
R01341,map_rn2ko_viaEC_2plus,frozenset({'K00104'})
R01368,map_rn2ko_viaEC_2plus,frozenset({'K14458'})
R01368,map_rn2ko_viaEC_2plus,frozenset({'K14457'})
R01368,map_rn2ko_viaEC_2plus,frozenset({'K14456'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14073'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K07188'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K12298'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K22284'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14074'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K13616'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K13534'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14675'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K22283'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K01046'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K01059'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K16816'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14076'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K17900'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14075'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14674'})
R01369,map_rn2ko_viaEC_2plus,frozenset({'K14452'})
R01412,map_rn2ko_viaEC_2plus,frozenset({'K22407'})
R01412,map_rn2ko_viaEC_2plus,frozenset({'K22406'})
R01493,map_rn2ko_viaEC_2plus,frozenset({'K01441'})
R01493,map_rn2ko_viaEC_2plus,frozenset({'K12348'})
R01493,map_rn2ko_viaEC_2plus,frozenset({'K12349'})
R01532,map_rn2ko_viaEC_2plus,frozenset({'K01513'})
R01532,map_rn2ko_viaEC_2plus,frozenset({'K04765'})
R01599,map_rn2ko_viaEC_2plus,frozenset({'K11987'})
R01599,map_rn2ko_viaEC_2plus,frozenset({'K00509'})
R01654,map_rn2ko_viaEC_2plus,"frozenset({'K01930', 'K24102'})"
R01654,map_rn2ko_viaEC_2plus,frozenset({'K11754'})
R01654,map_rn2ko_viaEC_2plus,frozenset({'K22099'})
R01654,map_rn2ko_viaEC_2plus,"frozenset({'K01930', 'K20457'})"
R01659,map_rn2ko_viaEC_2plus,frozenset({'K22423'})
R01659,map_rn2ko_viaEC_2plus,frozenset({'K18114'})
R01659,map_rn2ko_viaEC_2plus,frozenset({'K15887'})
R01705,map_rn2ko_viaEC_2plus,frozenset({'K01076'})
R01705,map_rn2ko_viaEC_2plus,frozenset({'K01074'})
R01742,map_rn2ko_viaEC_2plus,"frozenset({'K06151', 'K06152'})"
R01780,map_rn2ko_viaEC_2plus,frozenset({'K01027'})
R01780,map_rn2ko_viaEC_2plus,"frozenset({'K01028', 'K01029'})"
R01810,map_rn2ko_viaEC_2plus,frozenset({'K24546'})
R01810,map_rn2ko_viaEC_2plus,frozenset({'K05970'})
R01810,map_rn2ko_viaEC_2plus,frozenset({'K19253'})
R01821,map_rn2ko_viaEC_2plus,frozenset({'K00688'})
R01821,map_rn2ko_viaEC_2plus,frozenset({'K16153'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17687'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07420'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07416'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17685'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07426'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17718'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17691'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17712'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07411'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07413'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07409'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17690'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07424'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17692'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07410'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17730'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K00490'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17720'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17728'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07428'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07418'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07414'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07429'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07408'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K14338'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K07412'})
R01842,map_rn2ko_viaEC_2plus,frozenset({'K17729'})
R01843,map_rn2ko_viaEC_2plus,frozenset({'K24182'})
R01843,map_rn2ko_viaEC_2plus,frozenset({'K16370'})
R01843,map_rn2ko_viaEC_2plus,frozenset({'K21071'})
R01843,map_rn2ko_viaEC_2plus,frozenset({'K00850'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19299'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19272'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19315'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K00897'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19543'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19274'})
R01888,map_rn2ko_viaEC_2plus,frozenset({'K19300'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K18815'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K19301'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K18816'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K19883'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K00663'})
R01889,map_rn2ko_viaEC_2plus,frozenset({'K19278'})
R01919,map_rn2ko_viaEC_2plus,frozenset({'K21300'})
R01919,map_rn2ko_viaEC_2plus,frozenset({'K00808'})
R02047,map_rn2ko_viaEC_2plus,frozenset({'K23146'})
R02047,map_rn2ko_viaEC_2plus,frozenset({'K00020'})
R02115,map_rn2ko_viaEC_2plus,frozenset({'K14674'})
R02115,map_rn2ko_viaEC_2plus,frozenset({'K12298'})
R02115,map_rn2ko_viaEC_2plus,frozenset({'K01052'})
R02156,map_rn2ko_viaEC_2plus,frozenset({'K06911'})
R02156,map_rn2ko_viaEC_2plus,frozenset({'K07155'})
R02163,map_rn2ko_viaEC_2plus,frozenset({'K17871'})
R02163,map_rn2ko_viaEC_2plus,frozenset({'K23948'})
R02248,map_rn2ko_viaEC_2plus,frozenset({'K08075'})
R02248,map_rn2ko_viaEC_2plus,frozenset({'K08073'})
R02298,map_rn2ko_viaEC_2plus,frozenset({'K09913'})
R02298,map_rn2ko_viaEC_2plus,frozenset({'K00756'})
R02319,map_rn2ko_viaEC_2plus,frozenset({'K21517'})
R02319,map_rn2ko_viaEC_2plus,frozenset({'K14641'})
R02319,map_rn2ko_viaEC_2plus,frozenset({'K14642'})
R02319,map_rn2ko_viaEC_2plus,frozenset({'K01510'})
R02319,map_rn2ko_viaEC_2plus,frozenset({'K06928'})
R02321,map_rn2ko_viaEC_2plus,frozenset({'K15519'})
R02321,map_rn2ko_viaEC_2plus,frozenset({'K00893'})
R02364,map_rn2ko_viaEC_2plus,frozenset({'K00359'})
R02364,map_rn2ko_viaEC_2plus,frozenset({'K00344'})
R02405,map_rn2ko_viaEC_2plus,"frozenset({'K01899', 'K01900'})"
R02406,map_rn2ko_viaEC_2plus,"frozenset({'K01899', 'K01900'})"
R02418,map_rn2ko_viaEC_2plus,frozenset({'K11847'})
R02418,map_rn2ko_viaEC_2plus,frozenset({'K11849'})
