rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R00373,https://www.genome.jp/entry/R00373,2.6.1.35,,1,0,,
R00383,https://www.genome.jp/entry/R00383,3.1.2.18;3.1.2.19;3.1.2.20,K01073,3,1,,
R00384,https://www.genome.jp/entry/R00384,1.3.1.44,K00209,1,1,,
R00385,https://www.genome.jp/entry/R00385,1.3.1.8,,1,0,,
R00387,https://www.genome.jp/entry/R00387,1.3.1.37,,1,0,,
R00388,https://www.genome.jp/entry/R00388,1.3.3.6,K00232,1,1,,
R00394,https://www.genome.jp/entry/R00394,6.2.1.10,,1,0,,
R00398,https://www.genome.jp/entry/R00398,1.5.1.17,,1,0,,
R00400,https://www.genome.jp/entry/R00400,2.6.1.12,,1,0,,
R00407,https://www.genome.jp/entry/R00407,3.1.2.3,,1,0,,
R00417,https://www.genome.jp/entry/R00417,2.4.1.94,,1,0,,
R00437,https://www.genome.jp/entry/R00437,2.7.7.8,K00962,1,1,,
R00438,https://www.genome.jp/entry/R00438,2.7.7.8,K00962,1,1,,
R00439,https://www.genome.jp/entry/R00439,2.7.7.8,K00962,1,1,,
R00440,https://www.genome.jp/entry/R00440,2.7.7.8,K00962,1,1,,
R00445,https://www.genome.jp/entry/R00445,1.4.1.15,,1,0,,
R00447,https://www.genome.jp/entry/R00447,1.4.3.14,,1,0,,
R00452,https://www.genome.jp/entry/R00452,1.5.1.16,,1,0,,
R00453,https://www.genome.jp/entry/R00453,2.6.1.71,,1,0,,
R00458,https://www.genome.jp/entry/R00458,3.5.1.17,,1,0,,
R00460,https://www.genome.jp/entry/R00460,5.1.1.5;5.1.1.9,K20707,2,1,,
R00463,https://www.genome.jp/entry/R00463,3.5.2.11,,1,0,,
R00466,https://www.genome.jp/entry/R00466,1.2.3.5,,1,0,,
R00468,https://www.genome.jp/entry/R00468,1.2.1.17,,1,0,,
R00476,https://www.genome.jp/entry/R00476,1.1.99.14,,1,0,,
R00477,https://www.genome.jp/entry/R00477,4.1.3.13,,1,0,,
R00478,https://www.genome.jp/entry/R00478,4.1.3.14,,1,0,,
R00482,https://www.genome.jp/entry/R00482,6.3.1.4,,1,0,,
R00484,https://www.genome.jp/entry/R00484,3.5.1.7,,1,0,,
