rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R01636,https://www.genome.jp/entry/R01636,1.14.12.8,,1,0,,
R01651,https://www.genome.jp/entry/R01651,1.2.1.25,,1,0,,
R01670,https://www.genome.jp/entry/R01670,2.1.1.54,,1,0,,
R01680,https://www.genome.jp/entry/R01680,1.1.99.13,,1,0,,
R01681,https://www.genome.jp/entry/R01681,1.8.1.3,,1,0,,
R01683,https://www.genome.jp/entry/R01683,1.5.1.23,K23235,1,1,,
R01686,https://www.genome.jp/entry/R01686,2.1.4.1,K00613,1,1,,
R01689,https://www.genome.jp/entry/R01689,1.3.1.31,K10797,1,1,,
R01690,https://www.genome.jp/entry/R01690,3.6.1.20,,1,0,,
R01694,https://www.genome.jp/entry/R01694,1.1.1.123,,1,0,,
R01695,https://www.genome.jp/entry/R01695,1.1.3.11,,1,0,,
R01696,https://www.genome.jp/entry/R01696,1.1.99.12,,1,0,,
R01697,https://www.genome.jp/entry/R01697,1.1.99.21,K08261,1,1,,
R01703,https://www.genome.jp/entry/R01703,1.11.1.3,,1,0,,
R01704,https://www.genome.jp/entry/R01704,1.2.1.48,,1,0,,
R01713,https://www.genome.jp/entry/R01713,2.6.1.31,,1,0,,
R01721,https://www.genome.jp/entry/R01721,2.1.1.7,,1,0,,
R01722,https://www.genome.jp/entry/R01722,2.4.1.196,,1,0,,
R01732,https://www.genome.jp/entry/R01732,3.5.99.1,,1,0,,
R01735,https://www.genome.jp/entry/R01735,1.2.1.23,,1,0,,
R01738,https://www.genome.jp/entry/R01738,1.1.1.69,K00046,1,1,,
R01740,https://www.genome.jp/entry/R01740,1.1.1.69,K00046,1,1,,
R01748,https://www.genome.jp/entry/R01748,3.1.3.20,,1,0,,
R01749,https://www.genome.jp/entry/R01749,1.1.1.92,,1,0,,
R01750,https://www.genome.jp/entry/R01750,1.1.1.92,,1,0,,
R01760,https://www.genome.jp/entry/R01760,3.2.1.88,,1,0,,
R01766,https://www.genome.jp/entry/R01766,4.1.2.26,,1,0,,
R01784,https://www.genome.jp/entry/R01784,4.1.2.18,,1,0,,
R01806,https://www.genome.jp/entry/R01806,2.3.1.44,,1,0,,
R01807,https://www.genome.jp/entry/R01807,2.3.1.45,K03377,1,1,,
R01808,https://www.genome.jp/entry/R01808,2.3.1.45,K03377,1,1,,
R01817,https://www.genome.jp/entry/R01817,1.1.1.224,,1,0,,
R01833,https://www.genome.jp/entry/R01833,1.14.99.12,,1,0,,
R01850,https://www.genome.jp/entry/R01850,2.3.1.10,,1,0,,
R01853,https://www.genome.jp/entry/R01853,1.4.3.21,K00276,1,1,,
R01860,https://www.genome.jp/entry/R01860,4.1.1.24,,1,0,,
R01862,https://www.genome.jp/entry/R01862,3.5.1.13,,1,0,,
R01866,https://www.genome.jp/entry/R01866,1.3.1.15,,1,0,,
R01875,https://www.genome.jp/entry/R01875,2.8.1.3,,1,0,,
R01879,https://www.genome.jp/entry/R01879,1.14.11.3,,1,0,,
R01882,https://www.genome.jp/entry/R01882,3.9.1.1,,1,0,,
R01886,https://www.genome.jp/entry/R01886,3.2.2.19,K01245,1,1,,
R01891,https://www.genome.jp/entry/R01891,2.7.8.3,,1,0,,
R01892,https://www.genome.jp/entry/R01892,1.1.2.2,,1,0,,
R01903,https://www.genome.jp/entry/R01903,1.1.1.12,,1,0,,
R01905,https://www.genome.jp/entry/R01905,4.1.1.34,,1,0,,
R01910,https://www.genome.jp/entry/R01910,1.1.99.9,,1,0,,
R01912,https://www.genome.jp/entry/R01912,2.4.1.160,,1,0,,
R01921,https://www.genome.jp/entry/R01921,1.1.1.254,,1,0,,
R01922,https://www.genome.jp/entry/R01922,3.5.1.73,,1,0,,
R01924,https://www.genome.jp/entry/R01924,3.1.1.28,,1,0,,
R01928,https://www.genome.jp/entry/R01928,2.4.1.23,,1,0,,
R01929,https://www.genome.jp/entry/R01929,2.7.8.10,,1,0,,
R01930,https://www.genome.jp/entry/R01930,3.12.1.1,,1,0,,
R01932,https://www.genome.jp/entry/R01932,1.1.1.172,,1,0,,
R01944,https://www.genome.jp/entry/R01944,2.3.1.138,,1,0,,
R01946,https://www.genome.jp/entry/R01946,2.3.1.126,,1,0,,
R01957,https://www.genome.jp/entry/R01957,2.6.1.63,,1,0,,
R01963,https://www.genome.jp/entry/R01963,3.10.1.1,K01565,1,1,,
R01964,https://www.genome.jp/entry/R01964,2.7.1.1,K00844,1,1,,
R01965,https://www.genome.jp/entry/R01965,2.7.1.1,K00844,1,1,,
R01972,https://www.genome.jp/entry/R01972,2.1.1.47,K22590,1,1,,
R01973,https://www.genome.jp/entry/R01973,2.1.1.47,K22590,1,1,,
R01987,https://www.genome.jp/entry/R01987,3.5.1.63,,1,0,,
R01995,https://www.genome.jp/entry/R01995,2.4.1.73,,1,0,,
R01998,https://www.genome.jp/entry/R01998,1.1.1.192,,1,0,,
R02002,https://www.genome.jp/entry/R02002,1.18.1.4,,1,0,,
R02006,https://www.genome.jp/entry/R02006,4.2.3.11,,1,0,,
R02010,https://www.genome.jp/entry/R02010,4.2.3.113,K21930,1,1,,
R02039,https://www.genome.jp/entry/R02039,1.2.1.48,,1,0,,
R02040,https://www.genome.jp/entry/R02040,3.5.1.55,,1,0,,
R02041,https://www.genome.jp/entry/R02041,3.5.1.60,K13720,1,1,,
R02042,https://www.genome.jp/entry/R02042,3.1.1.50,,1,0,,
R02075,https://www.genome.jp/entry/R02075,1.13.11.29,,1,0,,
R02076,https://www.genome.jp/entry/R02076,1.13.11.30,,1,0,,
R02077,https://www.genome.jp/entry/R02077,2.6.1.49,,1,0,,
R02083,https://www.genome.jp/entry/R02083,3.1.2.5,,1,0,,
R02084,https://www.genome.jp/entry/R02084,2.8.3.13,K18703,1,1,,
R02113,https://www.genome.jp/entry/R02113,2.4.1.173,K05841,1,1,,
R02121,https://www.genome.jp/entry/R02121,2.4.1.2,,1,0,,
R02122,https://www.genome.jp/entry/R02122,2.8.2.8,,1,0,,
R02130,https://www.genome.jp/entry/R02130,1.14.14.16,K00513,1,1,,
R02131,https://www.genome.jp/entry/R02131,1.14.14.19,K00512,1,1,,
R02132,https://www.genome.jp/entry/R02132,1.1.3.23,,1,0,,
R02136,https://www.genome.jp/entry/R02136,2.7.1.122,,1,0,,
R02138,https://www.genome.jp/entry/R02138,2.3.1.123,,1,0,,
R02145,https://www.genome.jp/entry/R02145,3.5.4.15,,1,0,,
R02168,https://www.genome.jp/entry/R02168,2.4.1.36,,1,0,,
R02171,https://www.genome.jp/entry/R02171,3.2.2.10,K06966,1,1,,
R02172,https://www.genome.jp/entry/R02172,3.2.2.8,K10213,1,1,,
R02178,https://www.genome.jp/entry/R02178,1.14.13.46,,1,0,,
R02179,https://www.genome.jp/entry/R02179,2.4.1.127,,1,0,,
R02182,https://www.genome.jp/entry/R02182,3.5.1.83,K20817,1,1,,
R02183,https://www.genome.jp/entry/R02183,2.4.1.41,K00710,1,1,,
R02184,https://www.genome.jp/entry/R02184,2.7.4.1,K00937,1,1,,
R02185,https://www.genome.jp/entry/R02185,2.7.1.63,K00886,1,1,,
R02186,https://www.genome.jp/entry/R02186,2.7.4.20,,1,0,,
R02188,https://www.genome.jp/entry/R02188,2.7.4.17,,1,0,,
R02190,https://www.genome.jp/entry/R02190,3.5.1.77,K01459,1,1,,
R02191,https://www.genome.jp/entry/R02191,2.3.1.36,K18852,1,1,,
R02195,https://www.genome.jp/entry/R02195,2.3.1.99,,1,0,,
R02200,https://www.genome.jp/entry/R02200,2.6.1.32,,1,0,,
R02205,https://www.genome.jp/entry/R02205,1.5.99.3,,1,0,,
R02206,https://www.genome.jp/entry/R02206,1.5.99.3,,1,0,,
R02210,https://www.genome.jp/entry/R02210,1.14.13.54,,1,0,,
R02212,https://www.genome.jp/entry/R02212,1.14.99.4,,1,0,,
R02214,https://www.genome.jp/entry/R02214,1.14.99.14,,1,0,,
R02226,https://www.genome.jp/entry/R02226,2.7.7.47,K00984,1,1,,
R02227,https://www.genome.jp/entry/R02227,2.7.1.87,K10673,1,1,,
R02232,https://www.genome.jp/entry/R02232,4.1.3.35,,1,0,,
R02233,https://www.genome.jp/entry/R02233,1.4.3.12,,1,0,,
R02234,https://www.genome.jp/entry/R02234,1.3.99.14,,1,0,,
R02238,https://www.genome.jp/entry/R02238,6.3.4.17,,1,0,,
R02242,https://www.genome.jp/entry/R02242,2.3.1.52,,1,0,,
R02246,https://www.genome.jp/entry/R02246,1.1.1.32,,1,0,,
R02247,https://www.genome.jp/entry/R02247,1.1.1.33,,1,0,,
R02249,https://www.genome.jp/entry/R02249,3.1.3.33,,1,0,,
R02254,https://www.genome.jp/entry/R02254,1.14.13.14,,1,0,,
R02256,https://www.genome.jp/entry/R02256,2.4.1.177,,1,0,,
R02258,https://www.genome.jp/entry/R02258,1.1.1.77,K00048,1,1,,
R02259,https://www.genome.jp/entry/R02259,1.1.1.55,,1,0,,
R02271,https://www.genome.jp/entry/R02271,2.6.1.43,,1,0,,
R02276,https://www.genome.jp/entry/R02276,3.5.1.63,,1,0,,
R02277,https://www.genome.jp/entry/R02277,1.1.3.18,,1,0,,
R02284,https://www.genome.jp/entry/R02284,3.5.2.4,,1,0,,
R02293,https://www.genome.jp/entry/R02293,2.6.1.46,,1,0,,
R02303,https://www.genome.jp/entry/R02303,2.7.4.18,,1,0,,
R02318,https://www.genome.jp/entry/R02318,5.1.2.6,,1,0,,
R02329,https://www.genome.jp/entry/R02329,2.7.7.32,,1,0,,
R02330,https://www.genome.jp/entry/R02330,3.6.1.39,,1,0,,
R02336,https://www.genome.jp/entry/R02336,3.8.1.3,K01561,1,1,,
R02337,https://www.genome.jp/entry/R02337,3.8.1.5,K01563,1,1,,
R02338,https://www.genome.jp/entry/R02338,1.13.11.17,,1,0,,
R02341,https://www.genome.jp/entry/R02341,3.2.2.1,K01239,1,1,,
R02345,https://www.genome.jp/entry/R02345,2.2.1.4,,1,0,,
R02347,https://www.genome.jp/entry/R02347,1.1.1.148,,1,0,,
R02349,https://www.genome.jp/entry/R02349,1.1.1.148,,1,0,,
R02359,https://www.genome.jp/entry/R02359,3.5.1.75,,1,0,,
R02365,https://www.genome.jp/entry/R02365,1.1.99.18,K19069,1,1,,
R02375,https://www.genome.jp/entry/R02375,2.3.1.139,,1,0,,
R02378,https://www.genome.jp/entry/R02378,4.2.1.50,,1,0,,
R02381,https://www.genome.jp/entry/R02381,3.1.1.49,,1,0,,
R02384,https://www.genome.jp/entry/R02384,2.1.1.27,,1,0,,
R02385,https://www.genome.jp/entry/R02385,2.3.1.110,K22246,1,1,,
R02387,https://www.genome.jp/entry/R02387,2.3.1.5,K00622,1,1,,
R02388,https://www.genome.jp/entry/R02388,2.4.1.71,,1,0,,
R02395,https://www.genome.jp/entry/R02395,1.1.1.108,K17735,1,1,,
R02398,https://www.genome.jp/entry/R02398,4.1.1.42,,1,0,,
R02402,https://www.genome.jp/entry/R02402,6.2.1.6,,1,0,,
R02409,https://www.genome.jp/entry/R02409,1.8.4.3,,1,0,,
R02417,https://www.genome.jp/entry/R02417,1.14.13.43,,1,0,,
R02419,https://www.genome.jp/entry/R02419,4.2.1.31,,1,0,,
R02420,https://www.genome.jp/entry/R02420,2.4.1.113,,1,0,,
R02430,https://www.genome.jp/entry/R02430,2.7.1.27,,1,0,,
R02432,https://www.genome.jp/entry/R02432,2.7.7.46,K17881,1,1,,
R02436,https://www.genome.jp/entry/R02436,3.2.1.66,,1,0,,
R02441,https://www.genome.jp/entry/R02441,1.1.1.13,,1,0,,
R02443,https://www.genome.jp/entry/R02443,1.14.14.81,K13083,1,1,,
R02447,https://www.genome.jp/entry/R02447,2.3.1.220,K21386,1,1,,
R02449,https://www.genome.jp/entry/R02449,1.14.13.58,,1,0,,
R02453,https://www.genome.jp/entry/R02453,2.3.1.144,K23277,1,1,,
R02455,https://www.genome.jp/entry/R02455,1.1.1.131,,1,0,,
R02456,https://www.genome.jp/entry/R02456,1.1.1.131,,1,0,,
R02458,https://www.genome.jp/entry/R02458,3.5.3.10,,1,0,,
R02462,https://www.genome.jp/entry/R02462,1.1.1.164;1.1.1.192,,2,0,,
R02463,https://www.genome.jp/entry/R02463,1.3.1.27,,1,0,,
R02465,https://www.genome.jp/entry/R02465,4.2.2.1,K01727,1,1,,
R02471,https://www.genome.jp/entry/R02471,1.1.1.106,,1,0,,
R02474,https://www.genome.jp/entry/R02474,3.5.1.22,,1,0,,
R02481,https://www.genome.jp/entry/R02481,2.3.1.34,,1,0,,
R02482,https://www.genome.jp/entry/R02482,2.3.1.112,,1,0,,
R02486,https://www.genome.jp/entry/R02486,1.14.11.10,,1,0,,
R02489,https://www.genome.jp/entry/R02489,4.1.1.62,,1,0,,
R02504,https://www.genome.jp/entry/R02504,3.6.1.2,,1,0,,
R02512,https://www.genome.jp/entry/R02512,4.1.2.32,,1,0,,
R02513,https://www.genome.jp/entry/R02513,3.5.3.18,K01482,1,1,,
R02514,https://www.genome.jp/entry/R02514,1.14.13.18,,1,0,,
R02515,https://www.genome.jp/entry/R02515,1.14.13.63,K10438,1,1,,
R02516,https://www.genome.jp/entry/R02516,1.14.13.18,,1,0,,
R02543,https://www.genome.jp/entry/R02543,2.3.1.24,,1,0,,
R02544,https://www.genome.jp/entry/R02544,1.3.1.7,,1,0,,
R02546,https://www.genome.jp/entry/R02546,5.1.2.5,,1,0,,
R02547,https://www.genome.jp/entry/R02547,3.3.2.4,,1,0,,
R02551,https://www.genome.jp/entry/R02551,3.5.1.58,,1,0,,
R02552,https://www.genome.jp/entry/R02552,3.5.1.64,,1,0,,
R02553,https://www.genome.jp/entry/R02553,1.1.1.163,K17754,1,1,,
R02554,https://www.genome.jp/entry/R02554,1.14.13.16,K23517,1,1,,
R02561,https://www.genome.jp/entry/R02561,1.14.13.27,,1,0,,
R02562,https://www.genome.jp/entry/R02562,1.14.13.27,,1,0,,
R02563,https://www.genome.jp/entry/R02563,2.7.8.4,,1,0,,
R02564,https://www.genome.jp/entry/R02564,3.10.1.2,,1,0,,
R02572,https://www.genome.jp/entry/R02572,2.1.1.96,K00562,1,1,,
R02573,https://www.genome.jp/entry/R02573,2.1.1.19,,1,0,,
R02575,https://www.genome.jp/entry/R02575,2.7.3.1,,1,0,,
R02576,https://www.genome.jp/entry/R02576,2.3.1.14,,1,0,,
R02580,https://www.genome.jp/entry/R02580,1.1.1.141,K00069,1,1,,
R02588,https://www.genome.jp/entry/R02588,3.2.1.112,,1,0,,
R02591,https://www.genome.jp/entry/R02591,3.1.4.38,,1,0,,
R02595,https://www.genome.jp/entry/R02595,3.2.1.126,,1,0,,
R02597,https://www.genome.jp/entry/R02597,3.1.3.29,K01097,1,1,,
R02598,https://www.genome.jp/entry/R02598,3.1.4.40,,1,0,,
R02605,https://www.genome.jp/entry/R02605,4.5.1.4,,1,0,,
R02615,https://www.genome.jp/entry/R02615,5.3.99.7,K18312,1,1,,
R02616,https://www.genome.jp/entry/R02616,2.3.1.18,K00633,1,1,,
R02620,https://www.genome.jp/entry/R02620,1.2.1.50,K03400,1,1,,
R02625,https://www.genome.jp/entry/R02625,2.7.13.1,,1,0,,
R02626,https://www.genome.jp/entry/R02626,2.7.13.2,,1,0,,
R02632,https://www.genome.jp/entry/R02632,2.8.2.26,,1,0,,
R02636,https://www.genome.jp/entry/R02636,4.1.1.67,,1,0,,
R02642,https://www.genome.jp/entry/R02642,1.3.99.6,,1,0,,
R02643,https://www.genome.jp/entry/R02643,1.3.99.5,K16051,1,1,,
R02646,https://www.genome.jp/entry/R02646,2.4.2.16,,1,0,,
R02648,https://www.genome.jp/entry/R02648,3.1.4.42,,1,0,,
R02651,https://www.genome.jp/entry/R02651,1.1.1.233,,1,0,,
R02652,https://www.genome.jp/entry/R02652,5.1.3.8,K01787,1,1,,
R02654,https://www.genome.jp/entry/R02654,2.4.1.198,K03857,1,1,,
R02655,https://www.genome.jp/entry/R02655,1.2.1.29,,1,0,,
R02666,https://www.genome.jp/entry/R02666,1.10.3.5,,1,0,,
R02667,https://www.genome.jp/entry/R02667,2.1.1.97,,1,0,,
R02673,https://www.genome.jp/entry/R02673,1.1.3.19,,1,0,,
R02679,https://www.genome.jp/entry/R02679,1.1.1.190,,1,0,,
R02680,https://www.genome.jp/entry/R02680,1.1.1.191,,1,0,,
R02682,https://www.genome.jp/entry/R02682,3.1.1.67,,1,0,,
R02683,https://www.genome.jp/entry/R02683,1.1.1.141;1.1.1.196,K00069,2,1,,
R02684,https://www.genome.jp/entry/R02684,1.1.1.188,K04119,1,1,,
R02692,https://www.genome.jp/entry/R02692,2.3.1.73,,1,0,,
R02693,https://www.genome.jp/entry/R02693,2.3.1.73,,1,0,,
R02707,https://www.genome.jp/entry/R02707,5.1.3.14,K01791,1,1,,
R02709,https://www.genome.jp/entry/R02709,2.4.1.178,,1,0,,
R02711,https://www.genome.jp/entry/R02711,6.3.1.7,,1,0,,
R02712,https://www.genome.jp/entry/R02712,3.5.1.67,,1,0,,
R02714,https://www.genome.jp/entry/R02714,3.1.1.30,,1,0,,
R02716,https://www.genome.jp/entry/R02716,2.4.1.53,K22709,1,1,,
R02717,https://www.genome.jp/entry/R02717,2.4.1.70,K22710,1,1,,
R02724,https://www.genome.jp/entry/R02724,1.14.15.6,K00498,1,1,,
R02729,https://www.genome.jp/entry/R02729,2.1.2.4,,1,0,,
R02730,https://www.genome.jp/entry/R02730,3.1.3.54,,1,0,,
R02741,https://www.genome.jp/entry/R02741,6.3.2.23,,1,0,,
R02751,https://www.genome.jp/entry/R02751,3.1.3.34,,1,0,,
R02758,https://www.genome.jp/entry/R02758,2.7.1.94,K09881,1,1,,
R02764,https://www.genome.jp/entry/R02764,3.1.2.17,,1,0,,
R02766,https://www.genome.jp/entry/R02766,1.1.1.212,,1,0,,
R02769,https://www.genome.jp/entry/R02769,2.5.1.57,K05304,1,1,,
R02790,https://www.genome.jp/entry/R02790,2.4.1.150,K00742,1,1,,
R02792,https://www.genome.jp/entry/R02792,1.1.1.159,K00076,1,1,,
R02793,https://www.genome.jp/entry/R02793,1.1.1.176,,1,0,,
R02800,https://www.genome.jp/entry/R02800,1.1.1.196,,1,0,,
R02807,https://www.genome.jp/entry/R02807,1.16.1.1,K00520,1,1,,
R02808,https://www.genome.jp/entry/R02808,2.1.1.49,K00562,1,1,,
R02809,https://www.genome.jp/entry/R02809,2.8.2.3,K16949,1,1,,
R02810,https://www.genome.jp/entry/R02810,1.11.1.8,K00431,1,1,,
R02813,https://www.genome.jp/entry/R02813,4.2.1.53,K10254,1,1,,
R02815,https://www.genome.jp/entry/R02815,3.5.4.11,,1,0,,
R02816,https://www.genome.jp/entry/R02816,1.17.3.1,,1,0,,
R02817,https://www.genome.jp/entry/R02817,3.1.4.13,,1,0,,
R02819,https://www.genome.jp/entry/R02819,1.1.1.21,K00011,1,1,,
R02820,https://www.genome.jp/entry/R02820,1.1.1.21,K00011,1,1,,
R02830,https://www.genome.jp/entry/R02830,1.14.13.6,,1,0,,
R02831,https://www.genome.jp/entry/R02831,4.1.1.58,,1,0,,
R02837,https://www.genome.jp/entry/R02837,2.3.1.27,,1,0,,
R02839,https://www.genome.jp/entry/R02839,2.8.2.18,,1,0,,
R02847,https://www.genome.jp/entry/R02847,1.1.1.121,,1,0,,
R02848,https://www.genome.jp/entry/R02848,2.7.1.1,K00844,1,1,,
R02849,https://www.genome.jp/entry/R02849,2.7.1.1,K00844,1,1,,
R02850,https://www.genome.jp/entry/R02850,2.7.1.1,K00844,1,1,,
R02857,https://www.genome.jp/entry/R02857,3.8.1.3,K01561,1,1,,
R02862,https://www.genome.jp/entry/R02862,2.1.1.87,,1,0,,
R02865,https://www.genome.jp/entry/R02865,2.7.1.1,K00844,1,1,,
R02867,https://www.genome.jp/entry/R02867,2.7.1.1,K00844,1,1,,
R02868,https://www.genome.jp/entry/R02868,2.7.1.1,K00844,1,1,,
R02875,https://www.genome.jp/entry/R02875,4.2.1.123,,1,0,,
R02877,https://www.genome.jp/entry/R02877,1.1.3.38,K20153,1,1,,
R02879,https://www.genome.jp/entry/R02879,1.14.15.3,K00496,1,1,,
R02882,https://www.genome.jp/entry/R02882,2.1.1.69,K21550,1,1,,
R02885,https://www.genome.jp/entry/R02885,3.1.3.55,,1,0,,
R02888,https://www.genome.jp/entry/R02888,2.4.1.49,,1,0,,
R02890,https://www.genome.jp/entry/R02890,2.4.1.29,,1,0,,
R02896,https://www.genome.jp/entry/R02896,1.1.1.15,,1,0,,
R02897,https://www.genome.jp/entry/R02897,2.4.1.185,,1,0,,
R02898,https://www.genome.jp/entry/R02898,5.5.1.6,K01859,1,1,,
R02899,https://www.genome.jp/entry/R02899,2.3.1.131,,1,0,,
R02901,https://www.genome.jp/entry/R02901,3.7.1.4,K22906,1,1,,
R02903,https://www.genome.jp/entry/R02903,2.7.11.14,K00909,1,1,,
R02907,https://www.genome.jp/entry/R02907,4.2.1.94,K17740,1,1,,
R02929,https://www.genome.jp/entry/R02929,6.3.1.6,,1,0,,
R02930,https://www.genome.jp/entry/R02930,3.5.1.65,,1,0,,
R02934,https://www.genome.jp/entry/R02934,2.7.1.77,,1,0,,
R02938,https://www.genome.jp/entry/R02938,3.5.1.50,,1,0,,
R02942,https://www.genome.jp/entry/R02942,3.1.1.55,,1,0,,
R02943,https://www.genome.jp/entry/R02943,2.5.1.34,K14130,1,1,,
R02944,https://www.genome.jp/entry/R02944,1.1.1.198,,1,0,,
R02945,https://www.genome.jp/entry/R02945,1.1.1.227,,1,0,,
R02949,https://www.genome.jp/entry/R02949,5.1.2.4,,1,0,,
R02950,https://www.genome.jp/entry/R02950,1.14.18.1,K00505,1,1,,
R02951,https://www.genome.jp/entry/R02951,2.4.1.126,,1,0,,
R02954,https://www.genome.jp/entry/R02954,1.3.1.46,,1,0,,
R02955,https://www.genome.jp/entry/R02955,2.8.3.11,,1,0,,
R02960,https://www.genome.jp/entry/R02960,4.3.2.4,,1,0,,
R02969,https://www.genome.jp/entry/R02969,1.1.1.167,,1,0,,
R02970,https://www.genome.jp/entry/R02970,2.6.1.47,,1,0,,
R02972,https://www.genome.jp/entry/R02972,4.1.1.30,,1,0,,
R02974,https://www.genome.jp/entry/R02974,3.5.4.24,,1,0,,
R02980,https://www.genome.jp/entry/R02980,2.7.11.28,,1,0,,
R02982,https://www.genome.jp/entry/R02982,2.1.1.70,,1,0,,
R02994,https://www.genome.jp/entry/R02994,1.1.1.241,,1,0,,
R02995,https://www.genome.jp/entry/R02995,1.14.13.51,,1,0,,
R02996,https://www.genome.jp/entry/R02996,2.8.2.22,K01023,1,1,,
R02997,https://www.genome.jp/entry/R02997,3.1.1.42,,1,0,,
R02998,https://www.genome.jp/entry/R02998,2.3.1.98,,1,0,,
R02999,https://www.genome.jp/entry/R02999,1.16.1.6,K14618,1,1,,
R03001,https://www.genome.jp/entry/R03001,2.6.1.41,,1,0,,
R03003,https://www.genome.jp/entry/R03003,2.1.1.113,K00590,1,1,,
R03016,https://www.genome.jp/entry/R03016,3.1.7.3,,1,0,,
R03017,https://www.genome.jp/entry/R03017,2.3.1.69,,1,0,,
R03020,https://www.genome.jp/entry/R03020,5.4.99.12,K06173,1,1,,
R03021,https://www.genome.jp/entry/R03021,1.1.1.98,,1,0,,
R03022,https://www.genome.jp/entry/R03022,1.1.1.99,,1,0,,
R03034,https://www.genome.jp/entry/R03034,3.1.1.25,,1,0,,
R03039,https://www.genome.jp/entry/R03039,2.3.2.11,,1,0,,
R03040,https://www.genome.jp/entry/R03040,2.3.3.12,,1,0,,
R03043,https://www.genome.jp/entry/R03043,1.1.1.150,,1,0,,
R03044,https://www.genome.jp/entry/R03044,1.1.1.151,,1,0,,
R03046,https://www.genome.jp/entry/R03046,4.3.1.6,,1,0,,
R03049,https://www.genome.jp/entry/R03049,3.1.1.63,,1,0,,
R03052,https://www.genome.jp/entry/R03052,5.4.99.3,,1,0,,
R03053,https://www.genome.jp/entry/R03053,2.6.1.67,,1,0,,
R03056,https://www.genome.jp/entry/R03056,2.3.1.59,K17840,1,1,,
R03063,https://www.genome.jp/entry/R03063,2.6.1.74,,1,0,,
R03080,https://www.genome.jp/entry/R03080,1.1.1.77,K00048,1,1,,
R03081,https://www.genome.jp/entry/R03081,4.1.2.18,,1,0,,
R03086,https://www.genome.jp/entry/R03086,1.14.99.11,,1,0,,
R03094,https://www.genome.jp/entry/R03094,2.4.1.121,K13692,1,1,,
R03095,https://www.genome.jp/entry/R03095,6.3.2.20,K03397,1,1,,
R03109,https://www.genome.jp/entry/R03109,2.3.1.25,,1,0,,
R03110,https://www.genome.jp/entry/R03110,2.7.8.22,,1,0,,
R03116,https://www.genome.jp/entry/R03116,2.4.1.30;2.4.1.97,,2,0,,
R03121,https://www.genome.jp/entry/R03121,2.6.1.60,,1,0,,
R03125,https://www.genome.jp/entry/R03125,1.14.14.81,K13083,1,1,,
R03127,https://www.genome.jp/entry/R03127,4.1.1.54,,1,0,,
R03131,https://www.genome.jp/entry/R03131,2.5.1.53,,1,0,,
R03133,https://www.genome.jp/entry/R03133,2.5.1.50,,1,0,,
R03134,https://www.genome.jp/entry/R03134,2.5.1.51,,1,0,,
R03135,https://www.genome.jp/entry/R03135,1.1.3.30,,1,0,,
R03137,https://www.genome.jp/entry/R03137,1.13.12.5,K18053,1,1,,
R03138,https://www.genome.jp/entry/R03138,2.8.2.10,,1,0,,
R03142,https://www.genome.jp/entry/R03142,2.7.7.36,,1,0,,
R03143,https://www.genome.jp/entry/R03143,2.7.7.37,,1,0,,
R03146,https://www.genome.jp/entry/R03146,1.2.2.1,,1,0,,
R03148,https://www.genome.jp/entry/R03148,2.7.1.62,,1,0,,
R03149,https://www.genome.jp/entry/R03149,2.7.7.28,,1,0,,
R03150,https://www.genome.jp/entry/R03150,2.7.11.18,K00907,1,1,,
R03151,https://www.genome.jp/entry/R03151,3.1.3.53,,1,0,,
R03153,https://www.genome.jp/entry/R03153,2.8.3.11,,1,0,,
R03155,https://www.genome.jp/entry/R03155,1.1.1.168;1.1.1.214;1.1.1.358,K19654,3,1,,
R03156,https://www.genome.jp/entry/R03156,1.1.99.27,,1,0,,
R03171,https://www.genome.jp/entry/R03171,1.2.1.25,,1,0,,
R03183,https://www.genome.jp/entry/R03183,1.1.1.20,,1,0,,
R03188,https://www.genome.jp/entry/R03188,3.5.3.5,,1,0,,
R03190,https://www.genome.jp/entry/R03190,2.4.1.78,,1,0,,
R03198,https://www.genome.jp/entry/R03198,1.2.1.33,,1,0,,
R03206,https://www.genome.jp/entry/R03206,1.14.99.26,,1,0,,
R03207,https://www.genome.jp/entry/R03207,2.6.1.24,,1,0,,
R03211,https://www.genome.jp/entry/R03211,3.7.1.10,,1,0,,
R03212,https://www.genome.jp/entry/R03212,1.1.99.26,,1,0,,
R03215,https://www.genome.jp/entry/R03215,1.17.2.3,,1,0,,
R03216,https://www.genome.jp/entry/R03216,3.1.6.11,,1,0,,
R03219,https://www.genome.jp/entry/R03219,1.14.11.2,K00472,1,1,,
R03225,https://www.genome.jp/entry/R03225,1.1.99.24,K11173,1,1,,
R03226,https://www.genome.jp/entry/R03226,1.1.1.147,,1,0,,
R03227,https://www.genome.jp/entry/R03227,1.1.1.147,,1,0,,
R03228,https://www.genome.jp/entry/R03228,5.1.99.2,,1,0,,
R03229,https://www.genome.jp/entry/R03229,2.1.1.94,K21895,1,1,,
R03246,https://www.genome.jp/entry/R03246,1.13.11.35,,1,0,,
R03248,https://www.genome.jp/entry/R03248,2.6.1.8,,1,0,,
R03251,https://www.genome.jp/entry/R03251,1.3.1.18,,1,0,,
R03253,https://www.genome.jp/entry/R03253,1.13.11.10,,1,0,,
R03255,https://www.genome.jp/entry/R03255,3.2.1.85,K01220,1,1,,
R03258,https://www.genome.jp/entry/R03258,2.7.6.4,,1,0,,
